epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,precision,loss_scale,grad_norm,epoch_time_sec,samples_per_sec
1,2.319611919099006,0.07729468599033816,2.2991018295288086,0.11363636702299118,0.00011260000000000001,fp32,1.0,1.0697909338133675,18.107900857925415,11.4314741186249
2,2.2946662476673216,0.09178743961352658,2.292280673980713,0.13636364042758942,0.00012520000000000003,fp32,1.0,0.8320575611931937,18.96662735939026,10.913906625445223
3,2.2555126913503747,0.16908212560386474,2.2603695392608643,0.20454545319080353,0.0001378,fp32,1.0,0.9623326574053083,19.44851565361023,10.643485790216312
4,2.187731177334624,0.21739130434782608,2.2444276809692383,0.20454545319080353,0.00015040000000000002,fp32,1.0,1.7212913547243391,18.830498695373535,10.992804988795003
5,2.182606844510433,0.2222222222222222,2.2895233631134033,0.09090909361839294,0.00016300000000000009,fp32,1.0,2.6205550602504184,18.022034406661987,11.485939674129177
6,2.1075041743292324,0.28019323671497587,2.1999714374542236,0.20454545319080353,0.00017560000000000007,fp32,1.0,2.2040938309260776,18.49242091178894,11.193775059923995
7,2.037990140454205,0.3285024154589372,2.2277982234954834,0.22727273404598236,0.00018820000000000005,fp32,1.0,2.690941708428519,18.220579147338867,11.360780484863596
8,2.0003635434136875,0.34782608695652173,2.1637048721313477,0.3181818127632141,0.00020080000000000006,fp32,1.0,2.6819066320146834,18.553555011749268,11.15689148893108
9,1.9462190710979959,0.3333333333333333,2.1589837074279785,0.20454545319080353,0.00021339999999999998,fp32,1.0,3.1049511432647705,17.861770391464233,11.58899680509391
10,1.9038195748260056,0.36231884057971014,2.1575326919555664,0.1818181872367859,0.00022599999999999994,fp32,1.0,3.4704434190477644,17.352980613708496,11.928786449313167
11,1.8724735773703902,0.37681159420289856,2.1349897384643555,0.22727273404598236,0.00023859999999999997,fp32,1.0,3.636564697538103,17.343905448913574,11.93502816362312
12,1.825445542588902,0.37681159420289856,2.181715726852417,0.15909090638160706,0.0002512,fp32,1.0,4.354225209781101,17.195557355880737,12.03799305343294
13,1.8606966716655786,0.32367149758454106,2.115788221359253,0.2954545319080353,0.0002638000000000001,fp32,1.0,6.308420215334211,17.385161876678467,11.906705354160817
14,1.7237999324061444,0.463768115942029,2.1118130683898926,0.25,0.00027640000000000016,fp32,1.0,4.960595505578177,17.84904146194458,11.597261423888709
15,1.6792287567387456,0.4396135265700483,2.0587680339813232,0.27272728085517883,0.0002890000000000002,fp32,1.0,5.589520658765521,17.98836398124695,11.507438931956214
16,1.707784668834889,0.38164251207729466,2.041821241378784,0.34090909361839294,0.00030160000000000023,fp32,1.0,6.452462026051113,18.730030059814453,11.051770837470329
