run_id,sweep_name,timestamp,learning_rate,accuracy,macro_f1,weighted_f1,per_class_precision,per_class_recall,per_class_f1,per_class_support,confusion_matrix,top_confusions
0,baseline_lr_sweep,2026-08-16T15:19:18.978909,1e-05,0.5454545454545454,0.5485930735930735,0.5536452184179457,"{'Crypturellus cinereus': 1.0, 'Nothocercus julius': 0.3333333333333333, 'Tinamus guttatus': 0.6, 'Crypturellus bartletti': 0.6666666666666666, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.42857142857142855, 'Crypturellus strigulosus': 0.75, 'Crypturellus transfasciatus': 0.3333333333333333, 'Ortalis columbiana': 1.0, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.6, 'Nothocercus julius': 0.6, 'Tinamus guttatus': 0.75, 'Crypturellus bartletti': 0.5, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.75, 'Crypturellus strigulosus': 0.6, 'Crypturellus transfasciatus': 0.25, 'Ortalis columbiana': 0.4, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.75, 'Nothocercus julius': 0.42857142857142855, 'Tinamus guttatus': 0.6666666666666666, 'Crypturellus bartletti': 0.5714285714285714, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.5454545454545454, 'Crypturellus strigulosus': 0.6666666666666666, 'Crypturellus transfasciatus': 0.2857142857142857, 'Ortalis columbiana': 0.5714285714285714, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 5, 'Nothocercus julius': 5, 'Tinamus guttatus': 4, 'Crypturellus bartletti': 4, 'Crypturellus parvirostris': 4, 'Crypturellus variegatus': 4, 'Crypturellus strigulosus': 5, 'Crypturellus transfasciatus': 4, 'Ortalis columbiana': 5, 'Taoniscus nanus': 4}","[[3, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 3, 1, 0, 0, 0, 0, 1, 0, 0], [0, 0, 3, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 1, 0, 1, 0, 0], [0, 1, 0, 0, 2, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 3, 1, 0, 0, 0], [0, 1, 0, 0, 0, 1, 3, 0, 0, 0], [0, 2, 0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 1, 1, 0, 0, 2, 0], [0, 1, 0, 0, 1, 0, 0, 0, 0, 2]]","[{'true_class': 'Crypturellus transfasciatus', 'pred_class': 'Nothocercus julius', 'count': 2}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Nothocercus julius', 'count': 1}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Taoniscus nanus', 'count': 1}, {'true_class': 'Nothocercus julius', 'pred_class': 'Tinamus guttatus', 'count': 1}, {'true_class': 'Nothocercus julius', 'pred_class': 'Crypturellus transfasciatus', 'count': 1}]"
1,baseline_lr_sweep,2026-08-16T16:27:41.916532,5e-05,0.5454545454545454,0.540093795093795,0.5498147054965237,"{'Crypturellus cinereus': 1.0, 'Nothocercus julius': 0.5714285714285714, 'Tinamus guttatus': 0.5, 'Crypturellus bartletti': 0.6666666666666666, 'Crypturellus parvirostris': 0.4, 'Crypturellus variegatus': 0.5, 'Crypturellus strigulosus': 1.0, 'Crypturellus transfasciatus': 0.5, 'Ortalis columbiana': 0.6, 'Taoniscus nanus': 0.2857142857142857}","{'Crypturellus cinereus': 0.6, 'Nothocercus julius': 0.8, 'Tinamus guttatus': 0.25, 'Crypturellus bartletti': 0.5, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.75, 'Crypturellus strigulosus': 0.4, 'Crypturellus transfasciatus': 0.5, 'Ortalis columbiana': 0.6, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.75, 'Nothocercus julius': 0.6666666666666666, 'Tinamus guttatus': 0.3333333333333333, 'Crypturellus bartletti': 0.5714285714285714, 'Crypturellus parvirostris': 0.4444444444444444, 'Crypturellus variegatus': 0.6, 'Crypturellus strigulosus': 0.5714285714285714, 'Crypturellus transfasciatus': 0.5, 'Ortalis columbiana': 0.6, 'Taoniscus nanus': 0.36363636363636365}","{'Crypturellus cinereus': 5, 'Nothocercus julius': 5, 'Tinamus guttatus': 4, 'Crypturellus bartletti': 4, 'Crypturellus parvirostris': 4, 'Crypturellus variegatus': 4, 'Crypturellus strigulosus': 5, 'Crypturellus transfasciatus': 4, 'Ortalis columbiana': 5, 'Taoniscus nanus': 4}","[[3, 0, 0, 0, 1, 0, 0, 0, 0, 1], [0, 4, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 3, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 2, 0, 0, 2], [0, 1, 0, 0, 0, 1, 0, 2, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 3, 0], [0, 1, 0, 0, 1, 0, 0, 0, 0, 2]]","[{'true_class': 'Tinamus guttatus', 'pred_class': 'Ortalis columbiana', 'count': 2}, {'true_class': 'Crypturellus parvirostris', 'pred_class': 'Taoniscus nanus', 'count': 2}, {'true_class': 'Crypturellus strigulosus', 'pred_class': 'Taoniscus nanus', 'count': 2}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Crypturellus parvirostris', 'count': 1}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Taoniscus nanus', 'count': 1}]"
2,baseline_lr_sweep,2026-08-16T18:08:16.553896,0.0001,0.6136363636363636,0.6206776556776556,0.6226939726939726,"{'Crypturellus cinereus': 1.0, 'Nothocercus julius': 0.4444444444444444, 'Tinamus guttatus': 0.6, 'Crypturellus bartletti': 0.75, 'Crypturellus parvirostris': 1.0, 'Crypturellus variegatus': 0.3333333333333333, 'Crypturellus strigulosus': 0.6666666666666666, 'Crypturellus transfasciatus': 1.0, 'Ortalis columbiana': 1.0, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.6, 'Nothocercus julius': 0.8, 'Tinamus guttatus': 0.75, 'Crypturellus bartletti': 0.75, 'Crypturellus parvirostris': 0.75, 'Crypturellus variegatus': 0.75, 'Crypturellus strigulosus': 0.4, 'Crypturellus transfasciatus': 0.25, 'Ortalis columbiana': 0.6, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.75, 'Nothocercus julius': 0.5714285714285714, 'Tinamus guttatus': 0.6666666666666666, 'Crypturellus bartletti': 0.75, 'Crypturellus parvirostris': 0.8571428571428571, 'Crypturellus variegatus': 0.46153846153846156, 'Crypturellus strigulosus': 0.5, 'Crypturellus transfasciatus': 0.4, 'Ortalis columbiana': 0.75, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 5, 'Nothocercus julius': 5, 'Tinamus guttatus': 4, 'Crypturellus bartletti': 4, 'Crypturellus parvirostris': 4, 'Crypturellus variegatus': 4, 'Crypturellus strigulosus': 5, 'Crypturellus transfasciatus': 4, 'Ortalis columbiana': 5, 'Taoniscus nanus': 4}","[[3, 1, 0, 0, 0, 0, 0, 0, 0, 1], [0, 4, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 3, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 3, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 3, 0, 0, 0, 0, 1], [0, 0, 1, 0, 0, 3, 0, 0, 0, 0], [0, 1, 0, 0, 0, 2, 2, 0, 0, 0], [0, 2, 0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0, 3, 0], [0, 1, 0, 1, 0, 0, 0, 0, 0, 2]]","[{'true_class': 'Crypturellus strigulosus', 'pred_class': 'Crypturellus variegatus', 'count': 2}, {'true_class': 'Crypturellus transfasciatus', 'pred_class': 'Nothocercus julius', 'count': 2}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Nothocercus julius', 'count': 1}, {'true_class': 'Crypturellus cinereus', 'pred_class': 'Taoniscus nanus', 'count': 1}, {'true_class': 'Nothocercus julius', 'pred_class': 'Crypturellus variegatus', 'count': 1}]"
3,baseline_lr_sweep,2026-08-16T19:38:02.986117,0.0005,0.6818181818181818,0.6867765567765567,0.686542624042624,"{'Crypturellus cinereus': 1.0, 'Nothocercus julius': 0.4444444444444444, 'Tinamus guttatus': 0.75, 'Crypturellus bartletti': 1.0, 'Crypturellus parvirostris': 0.6666666666666666, 'Crypturellus variegatus': 0.6666666666666666, 'Crypturellus strigulosus': 0.5, 'Crypturellus transfasciatus': 1.0, 'Ortalis columbiana': 0.8, 'Taoniscus nanus': 0.6666666666666666}","{'Crypturellus cinereus': 0.6, 'Nothocercus julius': 0.8, 'Tinamus guttatus': 0.75, 'Crypturellus bartletti': 1.0, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.5, 'Crypturellus strigulosus': 0.8, 'Crypturellus transfasciatus': 0.5, 'Ortalis columbiana': 0.8, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.75, 'Nothocercus julius': 0.5714285714285714, 'Tinamus guttatus': 0.75, 'Crypturellus bartletti': 1.0, 'Crypturellus parvirostris': 0.5714285714285714, 'Crypturellus variegatus': 0.5714285714285714, 'Crypturellus strigulosus': 0.6153846153846154, 'Crypturellus transfasciatus': 0.6666666666666666, 'Ortalis columbiana': 0.8, 'Taoniscus nanus': 0.5714285714285714}","{'Crypturellus cinereus': 5, 'Nothocercus julius': 5, 'Tinamus guttatus': 4, 'Crypturellus bartletti': 4, 'Crypturellus parvirostris': 4, 'Crypturellus variegatus': 4, 'Crypturellus strigulosus': 5, 'Crypturellus transfasciatus': 4, 'Ortalis columbiana': 5, 'Taoniscus nanus': 4}","[[3, 2, 0, 0, 0, 0, 0, 0, 0, 0], [0, 4, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 3, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 4, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 2, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2, 1, 0, 1, 0], [0, 1, 0, 0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 4, 0], [0, 1, 0, 0, 1, 0, 0, 0, 0, 2]]","[{'true_class': 'Crypturellus cinereus', 'pred_class': 'Nothocercus julius', 'count': 2}, {'true_class': 'Crypturellus transfasciatus', 'pred_class': 'Crypturellus strigulosus', 'count': 2}, {'true_class': 'Nothocercus julius', 'pred_class': 'Tinamus guttatus', 'count': 1}, {'true_class': 'Tinamus guttatus', 'pred_class': 'Crypturellus strigulosus', 'count': 1}, {'true_class': 'Crypturellus parvirostris', 'pred_class': 'Nothocercus julius', 'count': 1}]"
4,baseline_lr_sweep,2026-08-16T20:19:29.452987,0.001,0.4772727272727273,0.45297924297924297,0.45100455100455095,"{'Crypturellus cinereus': 0.5, 'Nothocercus julius': 0.5, 'Tinamus guttatus': 0.0, 'Crypturellus bartletti': 1.0, 'Crypturellus parvirostris': 0.3333333333333333, 'Crypturellus variegatus': 1.0, 'Crypturellus strigulosus': 0.4, 'Crypturellus transfasciatus': 1.0, 'Ortalis columbiana': 0.375, 'Taoniscus nanus': 0.6666666666666666}","{'Crypturellus cinereus': 0.4, 'Nothocercus julius': 0.2, 'Tinamus guttatus': 0.0, 'Crypturellus bartletti': 0.25, 'Crypturellus parvirostris': 1.0, 'Crypturellus variegatus': 0.5, 'Crypturellus strigulosus': 0.8, 'Crypturellus transfasciatus': 0.5, 'Ortalis columbiana': 0.6, 'Taoniscus nanus': 0.5}","{'Crypturellus cinereus': 0.4444444444444444, 'Nothocercus julius': 0.2857142857142857, 'Tinamus guttatus': 0.0, 'Crypturellus bartletti': 0.4, 'Crypturellus parvirostris': 0.5, 'Crypturellus variegatus': 0.6666666666666666, 'Crypturellus strigulosus': 0.5333333333333333, 'Crypturellus transfasciatus': 0.6666666666666666, 'Ortalis columbiana': 0.46153846153846156, 'Taoniscus nanus': 0.5714285714285714}","{'Crypturellus cinereus': 5, 'Nothocercus julius': 5, 'Tinamus guttatus': 4, 'Crypturellus bartletti': 4, 'Crypturellus parvirostris': 4, 'Crypturellus variegatus': 4, 'Crypturellus strigulosus': 5, 'Crypturellus transfasciatus': 4, 'Ortalis columbiana': 5, 'Taoniscus nanus': 4}","[[2, 0, 0, 0, 1, 0, 0, 0, 1, 1], [0, 1, 0, 0, 3, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 2, 0, 2, 0], [2, 0, 0, 1, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 4, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 1, 0, 1, 0], [0, 1, 0, 0, 0, 0, 4, 0, 0, 0], [0, 0, 0, 0, 1, 0, 1, 2, 0, 0], [0, 0, 0, 0, 1, 0, 1, 0, 3, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 2]]","[{'true_class': 'Nothocercus julius', 'pred_class': 'Crypturellus parvirostris', 'count': 3}, {'true_class': 'Tinamus guttatus', 'pred_class': 'Crypturellus strigulosus', 'count': 2}, {'true_class': 'Tinamus guttatus', 'pred_class': 'Ortalis columbiana', 'count': 2}, {'true_class': 'Crypturellus bartletti', 'pred_class': 'Crypturellus cinereus', 'count': 2}, {'true_class': 'Taoniscus nanus', 'pred_class': 'Crypturellus parvirostris', 'count': 2}]"
